Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDD58,7.76,0,0.05935224099999999,13,101.87,8,2,2,0,1,1697.79
FDN04,11.8,1,0.014087057,5,180.3344,8,2,2,0,1,1427.4752
FDV45,16.75,0,0.045230944,13,187.9556,3,8,1,2,2,4693.89
NCL18,12.857645184135976,0,0.293417759,9,194.6136,4,0,2,0,0,583.2408
FDR12,12.857645184135976,1,0.031382044,0,171.3764,5,0,1,2,3,3091.9752
FDG20,15.5,1,0.12639886,6,177.0028,2,7,1,1,1,2479.4392
FDZ55,6.055,0,0.025403897999999998,6,160.99200000000002,6,6,2,1,1,2716.4640000000004
FDQ49,12.857645184135976,1,0.039057677,2,155.963,5,0,1,2,3,3285.723
FDN33,6.305,1,0.123115764,13,95.6436,8,2,2,0,1,661.8052
FDN27,20.85,0,0.039624006,10,117.2808,9,4,1,0,1,1523.3504
FDW20,20.75,0,0.040421193,6,122.17299999999999,0,3,1,2,0,369.519
DRG27,8.895,0,0.10527411099999999,4,39.9138,9,4,1,0,1,690.4346
DRI25,19.6,0,0.033970195,14,55.1614,7,5,1,1,1,1381.535
FDA44,19.7,0,0.053212652,6,57.893,6,6,2,1,1,622.523
NCR17,9.8,0,0.024378706,8,114.5492,6,6,2,1,1,1274.3412
FDU04,12.857645184135976,0,0.009714595,5,120.0414,4,0,2,0,0,487.3656
FDF41,12.15,0,0.131383762,5,246.046,9,4,1,0,1,1231.73
FDB56,8.75,1,0.07461309,6,187.4556,6,6,2,1,1,3755.112
NCP18,12.857645184135976,0,0.028459761,9,149.9708,5,0,1,2,3,4363.6532
FDB56,8.75,1,0.07462720099999999,6,187.8556,8,2,2,0,1,1314.2892
FDT28,13.3,0,0.063695084,5,151.0708,7,5,1,1,1,1805.6496
FDD10,12.857645184135976,1,0.045797829000000005,13,178.5344,5,0,1,2,3,2854.9504
FDW57,8.31,1,0.11585722300000001,13,179.1028,9,4,1,0,1,3896.2616
DRB48,16.75,1,0.024832806000000002,14,38.7822,1,1,0,2,1,667.7974
FDP09,19.75,0,0.034027909,13,212.0902,3,8,1,2,2,3185.853
FDH14,17.1,1,0.046769599999999995,3,141.1838,1,1,0,2,1,2247.7408
FDA47,10.5,1,0.11657670199999999,0,163.121,1,1,0,2,1,1794.3310000000001
FDG12,6.635,1,0.0,0,121.3098,7,5,1,1,1,2530.7058
DRE60,12.857645184135976,0,0.278974075,14,225.372,4,0,2,0,0,679.1160000000001
DRK49,14.15,0,0.035913805,14,41.4138,1,1,0,2,1,812.2760000000001
FDD03,13.3,0,0.079806266,4,232.53,8,2,2,0,1,699.09
FDS52,8.89,0,0.005505481,5,102.4016,2,7,1,1,1,2732.4432
FDW39,12.857645184135976,1,0.064625342,10,176.937,4,0,2,0,0,176.437
FDX34,12.857645184135976,0,0.071636937,13,121.7098,5,0,1,2,3,4097.3332
FDV11,9.1,1,0.0,1,173.2054,7,5,1,1,1,3151.8972
FDD17,7.5,0,0.032677677999999995,5,239.0906,9,4,1,0,1,5942.265
FDZ16,16.85,1,0.160760054,5,192.4478,2,7,1,1,1,4843.695
FDZ46,7.485,0,0.06911065,13,109.0228,6,6,2,1,1,2542.0244
DRA12,11.6,0,0.041177505,14,140.3154,2,7,1,1,1,2552.6772
FDY58,11.65,0,0.040081193,13,227.0694,3,8,1,2,2,1141.847
NCF19,13.0,0,0.035307322,9,47.5034,2,7,1,1,1,680.4476
DRJ13,12.65,0,0.063017847,14,159.0578,7,5,1,1,1,2085.9514
FDB14,20.25,1,0.171938781,3,92.512,0,3,1,2,0,186.424
FDJ38,8.6,1,0.040197932,3,190.153,6,6,2,1,1,3036.048
FDW11,12.6,0,0.049058014000000004,1,62.7194,2,7,1,1,1,866.8716
FDL40,17.7,0,0.01161096,5,95.041,6,6,2,1,1,868.8689999999999
DRI49,14.15,0,0.183507295,14,82.4276,8,2,2,0,1,1137.1864
FDV38,19.25,0,0.102349519,4,52.7956,2,7,1,1,1,928.1252
DRG23,8.88,0,0.08670898699999999,7,151.7682,1,1,0,2,1,762.341
NCP30,20.5,0,0.032835147,9,40.2822,7,5,1,1,1,707.0796
FDY25,12.857645184135976,0,0.033809913,3,180.5976,5,0,1,2,3,7968.2944
NCH54,13.5,0,0.07266912,9,160.292,8,2,2,0,1,1438.128
NCR53,12.857645184135976,0,0.144338493,8,224.4404,5,0,1,2,3,6976.2524
FDS52,8.89,0,0.009163216,5,101.7016,0,3,1,2,0,101.2016
FDG02,7.855,0,0.011307038,3,188.5188,3,8,1,2,2,952.0939999999999
NCO26,7.235,0,0.076855628,9,116.0492,8,2,2,0,1,1969.4364
FDH35,12.857645184135976,0,0.059956876,15,165.4526,5,0,1,2,3,5262.4832
FDB51,6.92,0,0.038532062,4,60.5852,7,5,1,1,1,1314.2892
FDX44,9.3,0,0.043209581,6,90.8172,2,7,1,1,1,535.3032
NCN07,18.5,0,0.056816465,11,132.1284,0,3,1,2,0,263.6568
NCC31,8.02,0,0.019866705,9,154.5972,6,6,2,1,1,1402.1748
NCX54,9.195,0,0.048331717,9,105.1622,2,7,1,1,1,1693.7952
NCO55,12.8,0,0.091221855,11,105.5938,7,5,1,1,1,2143.876
NCC30,16.6,0,0.027622076000000002,9,177.6344,9,4,1,0,1,2676.5159999999996
FDI16,14.0,1,0.0,5,53.06399999999999,6,6,2,1,1,905.488
FDP16,18.6,0,0.039355947,5,246.3802,9,4,1,0,1,7370.406
FDB11,16.0,0,0.060836524,15,226.8404,6,6,2,1,1,6301.1312
NCB06,17.6,0,0.082316506,8,160.692,6,6,2,1,1,1597.92
FDA45,21.25,0,0.155350299,13,178.237,6,6,2,1,1,529.311
NCO26,7.235,0,0.076841095,9,117.5492,6,6,2,1,1,1969.4364
DRJ25,14.6,0,0.151419185,14,50.3692,2,7,1,1,1,1034.6532
FDR28,13.85,1,0.026001976,5,161.52100000000002,3,8,1,2,2,1794.3310000000001
FDI04,13.65,1,0.073209447,5,197.6426,3,8,1,2,2,2768.3964
DRK12,12.857645184135976,0,0.041683481,14,31.29,5,0,1,2,3,898.83
FDX20,7.365,0,0.042560252,6,226.172,8,2,2,0,1,3169.208
NCI18,18.35,0,0.014081156000000001,9,223.5746,3,8,1,2,2,3589.9936
FDB36,5.465,1,0.0,0,132.5626,3,8,1,2,2,262.3252
FDN13,18.6,0,0.152918384,2,99.8358,2,7,1,1,1,1910.1802
DRD24,13.85,0,0.030969273999999998,14,140.9154,2,7,1,1,1,1701.7848
FDQ28,14.0,1,0.06037677599999999,5,154.5656,1,1,0,2,1,2471.4496
FDM22,14.0,1,0.04192285,13,54.763999999999996,1,1,0,2,1,1331.6
FDR07,12.857645184135976,0,0.077367431,6,97.0094,5,0,1,2,3,1808.9786
FDV25,5.905,0,0.045838211,3,222.5456,3,8,1,2,2,3315.684
DRF49,7.27,0,0.071077939,14,114.2518,8,2,2,0,1,2618.5914
FDW51,6.155,1,0.09465987099999999,10,214.55599999999998,8,2,2,0,1,2769.728
DRL01,19.5,1,0.077608838,14,233.4958,2,7,1,1,1,5375.0034
FDP25,15.2,0,0.021327477,3,216.8824,2,7,1,1,1,2838.9712
FDL50,12.15,1,0.042485444000000004,3,125.0046,3,8,1,2,2,1743.0644
NCB30,12.857645184135976,0,0.025578526,9,198.8084,5,0,1,2,3,5555.4352
FDW11,12.6,0,0.048980800000000005,1,61.9194,3,8,1,2,2,619.194
NCM43,14.5,0,0.019471688,11,164.821,6,6,2,1,1,2120.573
FDK44,16.6,0,0.122918852,6,173.0738,2,7,1,1,1,3823.0236
FDM15,11.8,1,0.057373797000000004,10,151.4366,1,1,0,2,1,1360.2294
FDS31,13.1,1,0.044155597000000005,6,178.8318,1,1,0,2,1,3969.4996
FDI32,17.7,0,0.291865402,6,115.1834,0,3,1,2,0,345.5502
FDR47,17.85,0,0.0,1,196.5794,0,3,1,2,0,585.2382
FDB35,12.3,1,0.064750025,15,92.6804,7,5,1,1,1,1010.6844
NCU05,11.8,0,0.098312421,8,81.4618,0,3,1,2,0,161.1236
DRY23,12.857645184135976,1,0.191013663,14,42.1112,4,0,2,0,0,42.6112
FDO24,11.1,0,0.176573035,0,157.4604,7,5,1,1,1,3010.7476
FDQ28,12.857645184135976,1,0.060134441,5,153.0656,5,0,1,2,3,6024.1584
FDV39,11.3,0,0.0072946519999999996,10,198.1426,7,5,1,1,1,988.7130000000001
NCO17,12.857645184135976,0,0.128478462,8,117.944,4,0,2,0,0,239.688
FDU50,5.75,1,0.075107656,4,112.8176,1,1,0,2,1,1374.2112
FDT12,12.857645184135976,1,0.049381405999999996,0,226.8062,5,0,1,2,3,4739.8302
FDK58,11.35,1,0.045165795999999994,13,100.0016,3,8,1,2,2,1012.0160000000001
FDO08,12.857645184135976,1,0.09415375,6,165.7526,4,0,2,0,0,657.8104
NCW29,14.0,0,0.028907832,8,130.431,9,4,1,0,1,778.9860000000001
FDE04,19.75,1,0.018059621,5,179.766,7,5,1,1,1,2336.958
NCB19,6.525,0,0.09043609400000001,9,85.0882,9,4,1,0,1,2233.0932
FDV15,10.3,0,0.146399712,10,103.9648,9,4,1,0,1,1661.8368
FDL58,5.78,1,0.07426435599999999,13,264.7568,9,4,1,0,1,4745.8224
FDA08,11.85,1,0.050186725999999994,6,164.1526,7,5,1,1,1,3124.5994
FDT43,16.35,0,0.020631654,6,50.1324,3,8,1,2,2,467.3916
NCX06,12.857645184135976,0,0.01561108,9,182.5976,5,0,1,2,3,5070.7328
FDT20,10.5,0,0.041395445,6,37.6164,8,2,2,0,1,540.6296
FDB41,19.0,1,0.097313129,5,48.0718,8,2,2,0,1,992.7078
NCN55,14.6,0,0.059582996,11,238.8538,9,4,1,0,1,6008.845
FDE40,12.857645184135976,1,0.09866365199999999,4,62.9194,5,0,1,2,3,2105.2596
FDX49,12.857645184135976,1,0.101338651,3,232.63,5,0,1,2,3,5359.69
NCM53,18.75,0,0.052146455999999994,8,104.62799999999999,7,5,1,1,1,745.696
FDE36,5.26,1,0.041764487,0,161.8868,6,6,2,1,1,3275.736
FDN57,18.25,0,0.054344185999999996,13,140.2154,7,5,1,1,1,1701.7848
FDI24,12.857645184135976,0,0.07836248400000001,0,177.937,5,0,1,2,3,6704.606
FDI19,15.1,0,0.052339069,10,242.7512,8,2,2,0,1,4119.9704
FDF24,15.5,1,0.042464962,0,81.5934,0,3,1,2,0,327.5736
FDG52,13.65,0,0.06573288299999999,5,45.7402,9,4,1,0,1,780.9834
DRF36,16.1,0,0.023625114,14,189.3846,7,5,1,1,1,3630.6074
FDS45,12.857645184135976,1,0.051643608,13,107.3622,4,0,2,0,0,317.5866
FDX40,12.85,0,0.165694219,5,39.7164,0,3,1,2,0,231.6984
DRK12,9.5,0,0.041878397000000005,14,32.99,6,6,2,1,1,133.16
DRC27,13.8,0,0.058091482,4,245.1802,6,6,2,1,1,5650.6446
FDL58,5.78,1,0.0,13,263.7568,2,7,1,1,1,2636.5679999999998
NCD30,19.7,0,0.026903714,9,96.0726,7,5,1,1,1,1272.3438
NCZ54,14.65,0,0.0,9,161.5552,0,3,1,2,0,324.9104
FDE10,6.67,1,0.150554711,13,130.0626,0,3,1,2,0,131.1626
FDR44,6.11,1,0.0,6,131.2968,0,3,1,2,0,260.9936
FDP28,13.65,1,0.13497562800000001,5,260.0936,0,3,1,2,0,260.9936
FDX15,17.2,0,0.15616879,10,160.6578,1,1,0,2,1,3690.5294
FDA39,6.32,0,0.0,10,40.2822,6,6,2,1,1,1139.1838
FDY24,4.88,1,0.133700752,0,52.9298,9,4,1,0,1,1995.4026
FDC60,5.425,1,0.115119905,0,88.3514,2,7,1,1,1,1416.8224
FDH28,15.85,1,0.11003099699999999,5,37.2506,8,2,2,0,1,265.6542
FDT25,7.5,0,0.051038045,3,121.7072,2,7,1,1,1,3552.7088
DRJ13,12.65,0,0.062837968,14,161.5578,1,1,0,2,1,2406.867
NCO07,12.857645184135976,0,0.017116983,11,211.956,4,0,2,0,0,213.05599999999998
FDW20,20.75,0,0.024129332000000003,6,124.17299999999999,1,1,0,2,1,2956.152
DRF27,12.857645184135976,0,0.049754975,4,152.134,4,0,2,0,0,153.134
FDS49,9.0,0,0.0,3,79.7644,6,6,2,1,1,1649.8524
FDX25,12.857645184135976,0,0.101561568,3,181.9292,5,0,1,2,3,3101.2964
NCX42,12.857645184135976,0,0.0059496440000000005,9,165.6526,5,0,1,2,3,4769.1254
FDG33,12.857645184135976,1,0.13956116,12,170.4764,5,0,1,2,3,3435.528
FDL56,14.1,0,0.126035694,6,86.4198,7,5,1,1,1,1133.8574
FDF14,7.55,0,0.027164679,3,152.334,6,6,2,1,1,2603.278
NCD06,13.0,0,0.099325278,9,45.406000000000006,8,2,2,0,1,605.878
DRM47,12.857645184135976,0,0.04357366,7,192.8846,5,0,1,2,3,2293.0152
FDS46,12.857645184135976,1,0.082741482,13,118.7782,4,0,2,0,0,119.1782
FDB35,12.3,1,0.064565202,15,92.9804,1,1,0,2,1,1929.4884
FDX21,12.857645184135976,0,0.08455456900000001,13,109.8912,5,0,1,2,3,2074.6328
NCU05,12.857645184135976,0,0.058451805,8,79.9618,5,0,1,2,3,241.6854
NCR38,17.25,0,0.113748685,9,251.3724,7,5,1,1,1,6795.1548
NCR18,15.85,0,0.020603511,9,42.7112,2,7,1,1,1,639.168
NCU41,18.85,0,0.052044976,8,192.1846,6,6,2,1,1,3248.4382
FDY56,16.35,1,0.06276442900000001,6,227.6062,2,7,1,1,1,7222.5984
DRJ51,14.1,0,0.08797726199999999,4,229.0668,6,6,2,1,1,3225.1352
FDK21,7.905,0,0.010010425,13,249.0408,6,6,2,1,1,3755.112
FDY25,12.0,0,0.033946163,3,179.3976,1,1,0,2,1,3440.8544
FDU44,12.15,1,0.058414678,6,163.4552,6,6,2,1,1,974.7312
FDL43,10.1,0,0.027106459,10,75.367,9,4,1,0,1,535.969
FDF05,17.5,0,0.027022882999999998,5,262.491,2,7,1,1,1,5259.82
DRF15,12.857645184135976,0,0.058153409,4,152.034,4,0,2,0,0,306.268
FDL20,17.1,0,0.128937661,6,112.3886,3,8,1,2,2,1779.0176
FDV32,7.785,0,0.088846306,6,61.451,9,4,1,0,1,759.012
FDJ34,11.8,1,0.09357779,13,125.9704,1,1,0,2,1,1877.556
FDG08,13.15,1,0.165694678,6,171.8764,7,5,1,1,1,3779.0808
FDQ04,12.857645184135976,0,0.148392623,5,41.5796,4,0,2,0,0,41.2796
FDW13,8.5,0,0.098438394,3,51.1324,2,7,1,1,1,259.66200000000003
NCI17,8.645,0,0.143303291,8,96.34100000000001,1,1,0,2,1,193.082
FDY03,17.6,1,0.076276208,10,110.9202,7,5,1,1,1,1687.8029999999999
FDS12,9.1,0,0.175103435,0,127.5362,2,7,1,1,1,4655.9394
FDJ55,12.8,1,0.023511371,10,225.9404,1,1,0,2,1,4950.8888
DRK01,7.63,0,0.06105276,14,95.4436,6,6,2,1,1,1418.154
FDG28,9.285,1,0.049559042000000005,5,246.4144,2,7,1,1,1,1225.072
FDY38,13.6,1,0.119418124,4,231.03,7,5,1,1,1,5359.69
FDN01,8.895,0,0.072545601,2,176.237,7,5,1,1,1,1764.37
NCR54,16.35,0,0.090486828,9,195.21099999999998,1,1,0,2,1,2553.343
FDG29,17.6,0,0.056245075,5,43.3454,1,1,0,2,1,1006.6896
FDG24,7.975,0,0.014618973,0,85.225,1,1,0,2,1,1081.925
FDG59,15.85,0,0.04347912599999999,15,36.7164,2,7,1,1,1,308.9312
FDM28,15.7,0,0.045166237000000005,5,178.666,1,1,0,2,1,2516.724
FDW04,8.985,1,0.057827101,5,128.83100000000002,8,2,2,0,1,1428.141
FDS26,20.35,0,0.089394766,4,260.1594,1,1,0,2,1,2093.2752
FDQ56,6.59,0,0.10550944,6,85.6908,1,1,0,2,1,1929.4884
FDK51,19.85,0,0.005234153,4,264.0884,6,6,2,1,1,5829.7448
FDL22,16.85,0,0.036390174,13,91.4488,8,2,2,0,1,2082.6224
FDH19,12.857645184135976,0,0.03292824,10,173.1738,5,0,1,2,3,7298.4996
FDY55,16.75,0,0.081252534,6,256.4988,1,1,0,2,1,7452.9652
FDY03,17.6,1,0.076552407,10,110.5202,2,7,1,1,1,450.0808
FDK21,7.905,0,0.016758568999999997,13,250.4408,0,3,1,2,0,500.6816
FDZ10,12.857645184135976,0,0.044248175,13,126.20200000000001,5,0,1,2,3,3668.558
FDZ32,7.785,1,0.038288087,6,103.1964,3,8,1,2,2,736.3748
NCZ18,7.825,0,0.186032678,9,253.0698,6,6,2,1,1,6088.0752
NCF07,12.857645184135976,0,0.031867464,9,101.0016,5,0,1,2,3,2125.2336
DRE49,20.75,0,0.021370201000000002,14,153.0024,2,7,1,1,1,2277.036
FDJ08,12.857645184135976,0,0.193772568,6,190.3846,4,0,2,0,0,573.2538
FDT39,6.26,1,0.009866049,10,151.1366,6,6,2,1,1,2267.049
FDE08,18.2,0,0.082551042,6,147.3734,0,3,1,2,0,296.9468
NCD06,13.0,0,0.099729888,9,46.306000000000004,3,8,1,2,2,559.2719999999999
FDB57,20.25,1,0.018801549,6,222.1772,6,6,2,1,1,5559.43
NCT54,8.695,0,0.11972145099999999,9,95.5094,9,4,1,0,1,1237.7222
DRF49,7.27,0,0.071222087,14,113.5518,7,5,1,1,1,569.259
FDM25,12.857645184135976,1,0.060371962,2,174.0712,5,0,1,2,3,3866.9664
FDF20,12.85,0,0.033287541000000004,6,198.4768,7,5,1,1,1,1379.5376
FDH27,7.075,0,0.05858462,4,142.7128,3,8,1,2,2,1869.5664
FDV60,12.857645184135976,1,0.11679292,0,196.21099999999998,5,0,1,2,3,5499.508000000001
FDY59,8.195,0,0.031452265,0,94.3462,9,4,1,0,1,925.462
FDK36,7.09,0,0.00721395,0,47.9034,6,6,2,1,1,583.2408
NCM31,6.095,0,0.081196619,11,141.4154,8,2,2,0,1,1418.154
FDE33,19.35,1,0.049916364000000005,6,80.2644,2,7,1,1,1,942.7728
FDU36,6.15,0,0.04627095,0,99.3384,8,2,2,0,1,2364.9216
FDV13,12.857645184135976,1,0.02747716,3,87.9856,5,0,1,2,3,3251.7672
FDV20,12.857645184135976,1,0.10470453699999999,6,125.2678,4,0,2,0,0,254.3356
NCQ54,17.7,0,0.012540003000000001,9,167.0474,6,6,2,1,1,5895.659000000001
FDO23,17.85,0,0.147023834,1,93.7436,3,8,1,2,2,1134.5232
DRE60,9.395,0,0.15965759599999998,14,224.972,7,5,1,1,1,7696.648
DRP47,15.75,0,0.141398626,7,250.5382,2,7,1,1,1,2775.7202
FDB21,7.475,0,0.148821808,6,241.2854,7,5,1,1,1,5317.0788
FDR04,7.075,0,0.0,5,98.0068,3,8,1,2,2,874.8612
FDX23,6.445,0,0.029691762000000003,0,92.6436,8,2,2,0,1,1039.9796
FDX19,19.1,0,0.09671552300000001,6,235.0958,6,6,2,1,1,3038.0454
FDD40,20.25,1,0.014790558999999998,4,193.6162,6,6,2,1,1,3848.324
FDA01,15.0,1,0.054378253,3,59.1904,8,2,2,0,1,527.3136
FDS33,6.67,1,0.123428594,13,89.1514,8,2,2,0,1,2390.8878
FDM50,12.857645184135976,1,0.029943462999999997,3,60.222,5,0,1,2,3,1677.816
FDB29,16.7,1,0.052368060999999994,5,112.7176,1,1,0,2,1,801.6232
FDF46,7.07,0,0.09386114400000001,13,115.5834,7,5,1,1,1,1267.0174
FDA33,6.48,0,0.033968647000000005,13,148.0076,7,5,1,1,1,886.8456
FDC08,19.0,1,0.173154079,6,228.27200000000002,0,3,1,2,0,452.744
FDB53,13.35,0,0.139735226,5,147.5392,7,5,1,1,1,3877.6192
FDY31,12.857645184135976,0,0.043351895999999994,6,146.6418,5,0,1,2,3,4414.254
DRQ35,12.857645184135976,0,0.042086652,7,122.4388,5,0,1,2,3,5448.9072
FDX36,9.695,1,0.12848269,0,223.9404,9,4,1,0,1,4950.8888
DRD13,15.0,0,0.049357077,14,62.6168,2,7,1,1,1,958.752
FDC52,11.15,1,0.008326735,4,149.9708,2,7,1,1,1,1956.1204
FDB45,20.85,0,0.021362955,6,103.2306,9,4,1,0,1,2404.2038
NCK19,9.8,0,0.151420934,11,194.3478,0,3,1,2,0,387.4956
FDV51,16.35,0,0.032511818,10,165.0842,1,1,0,2,1,994.7052
FDZ35,9.6,1,0.022323658,1,101.29899999999999,7,5,1,1,1,1754.3829999999998
NCW17,12.857645184135976,0,0.019292355,8,129.9994,5,0,1,2,3,3340.9844
FDV59,13.35,0,0.048124442999999996,1,216.7166,7,5,1,1,1,3918.8988
DRH39,20.7,0,0.09261307,4,76.367,1,1,0,2,1,306.268
FDN60,12.857645184135976,0,0.094697274,0,158.4604,5,0,1,2,3,4278.4308
FDU55,16.2,0,0.035984103999999996,6,260.6278,7,5,1,1,1,4425.5726
FDN58,12.857645184135976,1,0.056596985,13,230.9984,5,0,1,2,3,9267.936
FDC41,12.857645184135976,0,0.2047,5,76.867,4,0,2,0,0,229.701
